GENE,CHR,STRAND,START,STOP,SIZE
AMER3,2,+,131513076,131525707,12632
AMFR,16,-,56395363,56459450,64088
AMH,19,+,2249112,2252072,2961
AMHR2,12,+,53817638,53825318,7681
AMICA1,11,-,118064441,118095809,31369
AMIGO1,1,-,110049445,110052336,2892
AMIGO2,12,-,47469489,47473734,4246
AMIGO3,3,-,49754266,49757238,2973
AMMECR1,X,-,109437413,109683461,246049
AMMECR1L,2,-,128619206,128643514,24309
AMN,14,+,103388992,103397179,8188
AMN1,12,-,31824070,31882108,58039
AMOT,X,-,112018104,112084043,65940
AMOTL1,11,+,94501507,94609918,108412
AMOTL2,3,-,134074186,134094259,20074
AMPD1,1,-,115215719,115238239,22521
AMPD2,1,+,110162434,110174677,12244
AMPD3,11,+,10471867,10529126,57260
AMPH,7,-,38423296,38671167,247872
AMT,3,-,49454210,49460111,5902
AMTN,4,+,71384288,71398460,14173
AMY1A,1,-,104230039,104239073,9035
AMY1A,1,+,104198140,104301311,103172
AMY1B,1,-,104230040,104238889,8850
AMY1B,1,+,104198324,104301310,102987
AMY1C,1,-,104230040,104238911,8872
AMY1C,1,+,104198302,104301310,103009
AMY2A,1,+,104159998,104168400,8403
AMY2B,1,+,104097265,104122156,24892
AMZ1,7,+,2719155,2755070,35916
AMZ2,17,+,66244144,66253305,9162
AMZ2P1,17,-,62962667,62971703,9037
ANAPC1,2,-,112525213,112641741,116529
ANAPC10,4,-,145915726,146019693,103968
ANAPC11,17,+,79848665,79858409,9745
ANAPC13,3,-,134196545,134204865,8321
ANAPC15,11,-,71820632,71823822,3191
ANAPC16,10,+,73975757,73995618,19862
ANAPC1P1,2,+,87088947,87122165,33219
ANAPC2,9,-,140069235,140083057,13823
ANAPC4,4,+,25378847,25420120,41274
ANAPC5,12,-,121746047,121792012,45966
ANAPC7,12,-,110810704,110841535,30832
ANG,14,+,21152335,21162345,10011
ANGEL1,14,-,77253585,77279283,25699
ANGEL2,1,-,213165523,213189217,23695
ANGPT1,8,-,108261709,108510254,248546
ANGPT2,8,-,6357174,6420784,63611
ANGPT4,20,-,853296,896960,43665
ANGPTL1,1,-,178818669,178840215,21547
ANGPTL2,9,-,129849627,129885044,35418
ANGPTL3,1,+,63063157,63071976,8820
ANGPTL4,19,+,8429010,8439259,10250
ANGPTL5,11,-,101761404,101787253,25850
ANGPTL6,19,-,10203012,10213425,10414
ANGPTL7,1,+,11249345,11256038,6694
ANHX,12,-,133794897,133812422,17526
ANK1,8,-,41510743,41754280,243538
ANK2,4,+,113739238,114304896,565659
ANK3,10,-,61786055,62493284,707230
ANKAR,2,+,190540710,190611376,70667
ANKDD1A,15,+,65204100,65251041,46942
ANKDD1B,5,+,74907300,74967671,60372
ANKEF1,20,+,10015696,10037407,21712
ANKFN1,17,+,54230835,54560007,329173
ANKFY1,17,-,4066664,4167274,100611
ANKH,5,-,14704908,14871887,166980
ANKHD1,5,+,139781398,139919441,138044
ANKHD1-EIF4EBP3,5,+,139781398,139929163,147766
ANKIB1,7,+,91875547,92030698,155152
ANKK1,11,+,113258512,113271140,12629
ANKLE1,19,+,17392453,17398455,6003
ANKLE2,12,-,133302252,133338474,36223
ANKMY1,2,-,241418838,241497438,78601
ANKMY2,7,-,16639400,16685442,46043
ANKRA2,5,-,72848024,72861511,13488
ANKRD1,10,-,92671856,92681032,9177
ANKRD10,13,-,111530886,111567454,36569
ANKRD11,16,-,89334028,89556969,222942
ANKRD12,18,+,9136750,9285983,149234
ANKRD13A,12,+,110437234,110477235,40002
ANKRD13B,17,+,27920526,27941779,21254
ANKRD13C,1,-,70724684,70820417,95734
ANKRD13D,11,+,67056761,67069955,13195
ANKRD16,10,-,5903688,5931860,28173
ANKRD17,4,-,73940501,74124502,184002
ANKRD18A,9,-,38571360,38620360,49001
ANKRD18B,9,+,33524410,33573001,48592
ANKRD18DP,3,-,197784403,197807542,23140
ANKRD19P,9,+,95571892,95600739,28848
ANKRD2,10,+,99332197,99343641,11445
ANKRD20A1,9,+,67926760,67969840,43081
ANKRD20A11P,21,-,15316095,15352765,36671
ANKRD20A12P,1,-,142697420,142713605,16186
ANKRD20A19P,13,-,24481422,24523454,42033
ANKRD20A2,9,-,43090424,43133544,43121
ANKRD20A2,9,+,42368302,42411410,43109
ANKRD20A3,9,-,43089971,43133510,43540
ANKRD20A3,9,+,42368336,67970293,25601958
ANKRD20A4,9,+,69381980,69425109,43130
ANKRD20A5P,18,+,14179095,14227049,47955
ANKRD20A8P,2,-,95426672,95522820,96149
ANKRD20A9P,13,-,19408542,19446109,37568
ANKRD22,10,-,90579658,90611732,32075
ANKRD23,2,-,97503650,97509758,6109
ANKRD24,19,+,4183350,4224811,41462
ANKRD26,10,-,27293044,27389427,96384
ANKRD26P1,16,-,46503248,46603009,99762
ANKRD26P3,13,-,19836939,19919113,82175
ANKRD27,19,-,33087906,33166102,78197
ANKRD28,3,-,15708743,15901053,192311
ANKRD29,18,-,21179977,21242849,62873
ANKRD30A,10,+,37414784,37521495,106712
ANKRD30B,18,+,14748238,14852737,104500
ANKRD30BL,2,-,132905163,133015542,110380
ANKRD30BP2,21,+,14410486,14490571,80086
ANKRD30BP3,10,+,45650109,45681489,31381
ANKRD31,5,-,74364121,74532703,168583
ANKRD32,5,+,93954390,94031573,77184
ANKRD33,12,+,52281792,52285505,3714
ANKRD33B,5,+,10564434,10657928,93495
ANKRD34A,1,+,145470507,145475647,5141
ANKRD34B,5,-,79852573,79866304,13732
ANKRD34C,15,+,79575145,79590581,15437
ANKRD35,1,+,145549208,145568526,19319
ANKRD36,2,+,97779232,97930257,151026
ANKRD36B,2,-,98121260,98206428,85169
ANKRD36BP1,1,-,168214818,168216668,1851
ANKRD36BP2,2,+,89065418,89106109,40692
ANKRD37,4,+,186317839,186321390,3552
ANKRD39,2,-,97513723,97523756,10034
ANKRD40,17,-,48770550,48785270,14721
ANKRD42,11,+,82904780,82967141,62362
ANKRD44,2,-,197851385,198175521,324137
ANKRD44-IT1,2,-,198115581,198167243,51663
ANKRD45,1,-,173577474,173639001,61528
ANKRD46,8,-,101521979,101572014,50036
ANKRD49,11,+,94227152,94232744,5593
ANKRD50,4,-,125585203,125633887,48685
ANKRD52,12,-,56631590,56652143,20554
ANKRD53,2,+,71205574,71212629,7056
ANKRD54,22,-,38226861,38240353,13493
ANKRD55,5,-,55395506,55529186,133681
ANKRD6,6,+,90142896,90343553,200658
ANKRD61,7,+,6071006,6076183,5178
ANKRD62,18,+,12093847,12129748,35902
ANKRD62P1-PARP4P3,22,-,17134598,17156430,21833
ANKRD63,15,-,40573644,40574787,1144
ANKRD65,1,-,1353799,1356824,3026
ANKRD66,6,+,46714653,46726954,12302
ANKRD7,7,+,117864711,117882784,18074
ANKRD9,14,-,102973197,102976128,2932
ANKS1A,6,+,34857037,35059190,202154
ANKS1B,12,-,99128568,100378432,1249865
ANKS3,16,-,4746510,4784378,37869
ANKS4B,16,+,21245015,21263750,18736
ANKS6,9,-,101494290,101558794,64505
ANKUB1,3,-,149478889,149510610,31722
ANKZF1,2,+,220094478,220101391,6914
ANLN,7,+,36429411,36493401,63991
ANO1,11,+,69924407,70035652,111246
ANO10,3,-,43407817,43663560,255744
ANO1-AS2,11,-,69918539,69921454,2916
ANO2,12,-,5671816,6055398,383583
ANO3,11,+,26353677,26684836,331160
ANO4,12,+,101188373,101522419,334047
ANO5,11,+,22214721,22304913,90193
ANO6,12,+,45609769,45834187,224419
ANO7,2,+,242127923,242164791,36869
ANO8,19,-,17434031,17445638,11608
ANO9,11,-,417929,442011,24083
ANP32A,15,-,69070874,69113261,42388
ANP32A-IT1,15,-,69096159,69099440,3282
ANP32AP1,15,+,35529526,35530264,739
ANP32B,9,+,100745488,100778224,32737
ANP32C,4,-,165118158,165118863,706
ANP32D,12,+,48866447,48866843,397
ANP32E,1,-,150190716,150208504,17789
ANPEP,15,-,90328125,90358072,29948
ANTXR1,2,+,69240275,69476459,236185
ANTXR2,4,-,80822770,80994626,171857
ANTXRL,10,+,47658232,47701443,43212
ANTXRLP1,10,-,47590260,47640844,50585
ANXA1,9,+,75766780,75785307,18528
ANXA10,4,+,169013687,169108893,95207
ANXA11,10,-,81914879,81965433,50555
ANXA13,8,-,124693033,124749647,56615
ANXA2,15,-,60639349,60690185,50837
ANXA2P1,4,-,154228620,154229963,1344
ANXA2P2,9,+,33624222,33625532,1311
ANXA2P3,10,+,66585284,66586634,1351
ANXA2R,5,-,43039181,43040447,1267
ANXA3,4,+,79472741,79531605,58865
ANXA4,2,+,69969126,70053596,84471
ANXA5,4,-,122589151,122618147,28997
ANXA6,5,-,150480266,150537443,57178
ANXA7,10,-,75135188,75173841,38654
ANXA8,10,-,47157983,47174143,16161
ANXA8,10,+,48255203,48271368,16166
ANXA8L1,10,+,47746849,47763040,16192
ANXA9,1,+,150954498,150968114,13617
AOAH,7,-,36552548,36764154,211607
AOAH-IT1,7,-,36637439,36639726,2288
AOC1,7,+,150549564,150558379,8816
AOC2,17,+,40996608,41002724,6117
AOC3,17,+,41003200,41010147,6948
AOC4P,17,+,41019161,41021234,2074
AOX1,2,+,201450730,201536217,85488
AOX2P,2,+,201560445,201658941,98497
AP1AR,4,+,113152894,113191211,38318
AP1B1,22,-,29723668,29784572,60905
AP1B1P1,22,+,32517963,32529456,11494
AP1G1,16,-,71762904,71842976,80073
AP1G2,14,-,24028771,24037045,8275
AP1M1,19,+,16308664,16346156,37493
AP1M2,19,-,10683346,10697991,14646
AP1S1,7,+,100797685,100804557,6873
AP1S2,X,-,15843928,15873137,29210
AP1S3,2,-,224620046,224702319,82274
AP2A1,19,+,50270179,50310369,40191
AP2A2,11,+,925808,1012245,86438
AP2B1,17,+,33914281,34053436,139156
AP2M1,3,+,183892633,183901879,9247
AP2S1,19,-,47341414,47354252,12839
AP3B1,5,-,77298149,77590579,292431
AP3B2,15,-,83328032,83378660,50629
AP3D1,19,-,2100986,2151556,50571
AP3M1,10,-,75880014,75910826,30813
AP3M2,8,+,42010463,42028701,18239
AP3S1,5,+,115177618,115249778,72161
AP3S2,15,-,90373830,90437617,63788
AP4B1,1,-,114437370,114447741,10372
AP4B1-AS1,1,+,114355233,114443859,88627
AP4E1,15,+,51200868,51298097,97230
AP4M1,7,+,99699129,99704803,5675
AP4S1,14,+,31494311,31565656,71346
AP5B1,11,-,65541368,65548062,6695
AP5M1,14,+,57735605,57756797,21193
AP5S1,20,+,3801170,3805954,4785
AP5Z1,7,+,4815261,4834026,18766
APAF1,12,+,99039077,99129211,90135
APBA1,9,-,72042448,72287275,244828
APBA2,15,+,29213839,29410516,196678
APBA3,19,-,3750770,3761673,10904
APBB1,11,-,6416353,6440702,24350
APBB1IP,10,+,26727265,26856732,129468
APBB2,4,-,40812043,41216635,404593
APBB3,5,-,139937852,139944189,6338
APC,5,+,112043201,112181936,138736
APC2,19,+,1450147,1473243,23097
APCDD1,18,+,10454624,10488698,34075
APCDD1L,20,-,57034425,57089949,55525
APCDD1L-AS1,20,+,57090434,57194948,104515
APCS,1,+,159557615,159558661,1047
APEH,3,+,49711434,49720934,9501
APELA,4,+,165798139,165818679,20541
APEX1,14,+,20923289,20925931,2643
APEX2,X,+,55026755,55034306,7552
APH1A,1,-,150237798,150241609,3812
APH1B,15,+,63569748,63601325,31578
API5,11,+,43333504,43366080,32577
APIP,11,-,34903842,34937958,34117
APITD1,1,+,10490158,10502872,12715
APITD1-CORT,1,+,10490158,10512060,21903
APLF,2,+,68694690,68807294,112605
APLN,X,-,128779235,128788933,9699
APLNR,11,-,57001051,57004927,3877
APLP1,19,+,36359400,36370699,11300
APLP2,11,+,129939715,130014706,74992
APMAP,20,-,24943579,24973425,29847
APOA1,11,-,116706468,116708338,1871
APOA1-AS,11,+,116706832,116726445,19614
APOA1BP,1,+,156561557,156564091,2535
APOA2,1,-,161192082,161193418,1337
APOA4,11,-,116691417,116694011,2595
APOA5,11,-,116660085,116663136,3052
APOB,2,-,21224300,21266945,42646
APOBEC1,12,-,7801995,7818502,16508
APOBEC2,6,+,41020939,41032630,11692
APOBEC3A,22,+,39353526,39359188,5663
APOBEC3A_B,22,+,39353526,39388783,35258
APOBEC3B,22,+,39378403,39388784,10382
APOBEC3B-AS1,22,-,39387563,39394225,6663
APOBEC3C,22,+,39410264,39414825,4562
APOBEC3D,22,+,39417117,39429256,12140
APOBEC3F,22,+,39436672,39451975,15304
APOBEC3G,22,+,39473009,39483748,10740
APOBEC3H,22,+,39493228,39500072,6845
APOBEC4,1,-,183615410,183622448,7039
APOBR,16,+,28505969,28510291,4323
APOC1,19,+,45417920,45422606,4687
APOC1P1,19,+,45430059,45434643,4585
APOC2,19,+,45449238,45452822,3585
APOC3,11,+,116700623,116703787,3165
APOC4,19,+,45445494,45448753,3260
APOC4-APOC2,19,+,45445494,45452822,7329
APOD,3,-,195295572,195311076,15505
APOE,19,+,45409038,45412650,3613
APOF,12,-,56754354,56756583,2230
APOH,17,-,64208146,64225556,17411
APOL1,22,+,36649116,36663577,14462
APOL2,22,-,36622254,36636000,13747
APOL3,22,-,36536370,36562225,25856
APOL4,22,-,36585175,36600879,15705
APOL5,22,+,36113918,36125529,11612
APOL6,22,+,36044423,36064456,20034
APOLD1,12,+,12878850,12944399,65550
APOM,6,+,31620186,31625987,5802
APOO,X,-,23851464,23926057,74594
APOOL,X,+,84258897,84348323,89427
APOOP5,16,-,59788044,59789095,1052
APOPT1,14,+,104029298,104057236,27939
APP,21,-,27252860,27543446,290587
APPBP2,17,-,58520509,58603601,83093
APPL1,3,+,57261764,57307498,45735
APPL2,12,-,105567074,105630008,62935
APRT,16,-,88875876,88878342,2467
APTR,7,-,77313167,77326662,13496
APTX,9,-,32972603,33001639,29037
AQP1,7,+,30951414,30965131,13718
AQP10,1,+,154293591,154297801,4211
AQP11,11,+,77300679,77321401,20723
AQP12A,2,+,241631261,241637900,6640
AQP12B,2,-,241615834,241622317,6484
AQP2,12,+,50344523,50352664,8142
AQP3,9,-,33441151,33447631,6481
AQP4,18,-,24432007,24445716,13710
AQP4-AS1,18,+,24445271,24515910,70640
AQP5,12,+,50355278,50359465,4188
AQP6,12,+,50366619,50370922,4304
AQP7,9,-,33384947,33402517,17571
AQP7P1,9,-,67270214,67289492,19279
AQP7P3,9,+,42858151,42893137,34987
AQP8,16,+,25228284,25240253,11970
AQP9,15,+,58430407,58478110,47704
AQPEP,5,+,115298150,115363299,65150
AQR,15,-,35148551,35261995,113445
AR,X,+,66763873,66950461,186589
ARAF,X,+,47420498,47431320,10823
ARAP1,11,-,72396113,72463434,67322
ARAP2,4,-,36067619,36245979,178361
ARAP3,5,-,141032967,141061800,28834
ARC,8,-,143692404,143695833,3430
ARCN1,11,+,118443101,118473747,30647
AREG,4,+,75310814,75490485,179672
AREL1,14,-,75127954,75179807,51854
ARF1,1,+,228270360,228286913,16554
ARF3,12,-,49329991,49351252,21262
ARF4,3,-,57557089,57583215,26127
ARF5,7,+,127228405,127231759,3355
ARF6,14,+,50359735,50363772,4038
ARFGAP1,20,+,61904136,61921142,17007
ARFGAP2,11,-,47185848,47198676,12829
ARFGAP3,22,-,43192531,43253408,60878
ARFGEF1,8,-,68109883,68255912,146030
ARFGEF2,20,+,47538274,47653230,114957
ARFIP1,4,+,153701088,153833063,131976
ARFIP2,11,-,6495912,6502709,6798
ARFRP1,20,-,62329994,62339365,9372
ARG1,6,+,131894343,131905472,11130
ARG2,14,+,68086578,68118436,31859
ARGFX,3,+,121286777,121309469,22693
ARGFXP2,17,-,30477386,30478590,1205
ARGLU1,13,-,107195661,107220514,24854
ARHGAP1,11,-,46698624,46722215,23592
ARHGAP10,4,+,148653452,148993927,340476
ARHGAP11A,15,+,32907344,32932150,24807
ARHGAP11B,15,+,30918878,30931013,12136
ARHGAP12,10,-,32094325,32217804,123480
ARHGAP15,2,+,143886898,144525921,639024
ARHGAP17,16,-,24930704,25026699,95996
ARHGAP18,6,-,129898239,130031370,133132
ARHGAP19,10,-,98981929,99052430,70502
ARHGAP19-SLIT1,10,-,98912798,99052430,139633
ARHGAP20,11,-,110447758,110583912,136155
ARHGAP21,10,-,24872537,25012597,140061
ARHGAP22,10,-,49654067,49864310,210244
ARHGAP23,17,+,36584719,36668628,83910
ARHGAP24,4,+,86396283,86923823,527541
ARHGAP25,2,+,68961912,69053957,92046
ARHGAP26,5,+,142150291,142608572,458282
ARHGAP26-AS1,5,-,142239169,142248475,9307
ARHGAP27,17,-,43471267,43510282,39016
ARHGAP28,18,+,6834431,6915712,81282
ARHGAP29,1,-,94634462,94703307,68846
ARHGAP30,1,-,161016731,161039760,23030
ARHGAP31,3,+,119013219,119138323,125105
ARHGAP31-AS1,3,-,119033139,119041607,8469
ARHGAP32,11,-,128834954,129062093,227140
ARHGAP33,19,+,36266416,36279724,13309
ARHGAP35,19,+,47421932,47508333,86402
ARHGAP36,X,+,130192215,130223859,31645
ARHGAP39,8,-,145754562,145838888,84327
ARHGAP4,X,-,153172829,153191714,18886
ARHGAP40,20,+,37230576,37279295,48720
ARHGAP42,11,+,100558406,100861656,303251
ARHGAP44,17,+,12692828,12894960,202133
ARHGAP5,14,+,32546494,32628934,82441
ARHGAP5-AS1,14,-,32544624,32545905,1282
ARHGAP6,X,-,11155662,11683821,528160
ARHGAP8,22,+,45148437,45258664,110228
ARHGAP9,12,-,57866037,57873633,7597
ARHGDIA,17,-,79825594,79829282,3689
ARHGDIB,12,-,15094949,15114562,19614
ARHGDIG,16,+,330605,333003,2399
ARHGEF1,19,+,42387266,42411604,24339
ARHGEF10,8,+,1772148,1906807,134660
ARHGEF10L,1,+,17866329,18024370,158042
ARHGEF11,1,-,156904631,157015162,110532
ARHGEF12,11,+,120207617,120360645,153029
ARHGEF15,17,+,8213555,8225834,12280
ARHGEF16,1,+,3371146,3397677,26532
ARHGEF17,11,+,73019662,73080425,60764
ARHGEF18,19,+,7459998,7537371,77374
ARHGEF19,1,-,16524598,16539104,14507
ARHGEF2,1,-,155916629,155948336,31708
ARHGEF25,12,+,58003962,58011028,7067
ARHGEF26,3,+,153838791,153975616,136826
ARHGEF26-AS1,3,-,153742189,153838999,96811
ARHGEF28,5,+,72921982,73237818,315837
ARHGEF3,3,-,56761445,57113336,351892
ARHGEF33,2,+,39146503,39202590,56088
ARHGEF34P,7,-,143956088,143983096,27009
ARHGEF35,7,-,143883175,143892791,9617
ARHGEF37,5,+,148961134,149014527,53394
ARHGEF38,4,+,106473776,106602070,128295
ARHGEF38-IT1,4,+,106482747,106491392,8646
ARHGEF39,9,-,35659340,35665278,5939
ARHGEF3-AS1,3,+,56974067,56994880,20814
ARHGEF4,2,+,131674223,131804826,130604
ARHGEF40,14,+,21538418,21558406,19989
ARHGEF5,7,+,144052488,144077725,25238
ARHGEF6,X,-,135747711,135863503,115793
ARHGEF7,13,+,111767623,111958081,190459
ARHGEF7-AS1,13,-,111796651,111800912,4262
ARHGEF9,X,-,62854847,63005426,150580
ARHGEF9-IT1,X,-,62890075,62891382,1308
ARID1A,1,+,27022521,27108601,86081
ARID1B,6,+,157099063,157531913,432851
ARID2,12,+,46123619,46301819,178201
ARID3A,19,+,926036,972803,46768
ARID3B,15,+,74833547,74890472,56926
ARID3C,9,-,34621454,34628011,6558
ARID4A,14,+,58765221,58840451,75231
ARID4B,1,-,235330209,235491532,161324
ARID5A,2,+,97202463,97218371,15909
ARID5B,10,+,63661012,63856707,195696
ARIH1,15,+,72766666,72878896,112231
ARIH2,3,+,48956280,49022971,66692
ARIH2OS,3,-,48955220,48956818,1599
ARL1,12,-,101786897,101801598,14702
ARL10,5,+,175792501,175800503,8003
ARL11,13,+,50202434,50208008,5575
ARL13A,X,+,100224696,100245820,21125
ARL13B,3,+,93698982,93774522,75541
ARL14,3,+,160394947,160396235,1289
ARL14EP,11,+,30344645,30359770,15126
ARL14EPL,5,+,115387162,115394827,7666
ARL15,5,-,53180613,53606403,425791
ARL16,17,-,79648223,79650954,2732
ARL17A,17,-,44376499,45120079,743581
ARL17B,17,-,44376912,44439134,62223
ARL2,11,+,64781584,64789657,8074
ARL2BP,16,+,57279037,57287545,8509
ARL2-SNX15,11,+,64781584,64808044,26461
ARL3,10,-,104433483,104474190,40708
ARL4A,7,+,12726451,12730558,4108
ARL4C,2,-,235401685,235405697,4013
ARL4D,17,+,41476352,41478504,2153
ARL5A,2,-,152657479,152685009,27531
ARL5B,10,+,18948312,18966940,18629
ARL5C,17,-,37313146,37322414,9269
ARL6,3,+,97483364,97520086,36723
ARL6IP1,16,-,18802990,18812857,9868
ARL6IP4,12,+,123464606,123467460,2855
ARL6IP5,3,+,69134089,69155239,21151
ARL6IP6,2,+,153574406,153617767,43362
ARL8A,1,-,202102531,202113871,11341
ARL8B,3,+,5163929,5222601,58673
ARL9,4,+,57371374,57390058,18685
ARMC1,8,-,66514690,66546452,31763
ARMC10,7,+,102715327,102740210,24884
ARMC12,6,+,35704808,35716690,11883
ARMC2,6,+,109169618,109295675,126058
ARMC2-AS1,6,-,109229342,109245306,15965
ARMC3,10,+,23216952,23327452,110501
ARMC4,10,-,28101092,28287984,186893
ARMC5,16,+,31469593,31478488,8896
ARMC6,19,+,19144386,19168987,24602
ARMC7,17,+,73106081,73126360,20280
ARMC8,3,+,137906089,138017228,111140
ARMC9,2,+,232063259,232240590,177332
ARMCX1,X,+,100805513,100809675,4163
ARMCX2,X,-,100910267,100914876,4610
ARMCX3,X,+,100878119,100882831,4713
ARMCX4,X,+,100673250,100790975,117726
ARMCX5,X,+,101854095,101859085,4991
ARMCX5-GPRASP2,X,+,101854275,101972661,118387
ARMCX6,X,-,100870107,100872991,2885
ARMS2,10,+,124214178,124216868,2691
ARNT,1,-,150782180,150849244,67065
ARNT2,15,+,80696691,80890277,193587
ARNTL,11,+,13299273,13408812,109540
ARNTL2,12,+,27485786,27578746,92961
ARNTL2-AS1,12,-,27542721,27599567,56847
ARPC1A,7,+,98923495,98963885,40391
ARPC1B,7,+,98972297,98992404,20108
ARPC2,2,+,219081816,219119071,37256
ARPC3,12,-,110872694,110888216,15523
ARPC4,3,+,9834178,9848789,14612
ARPC4-TTLL3,3,+,9834231,9878040,43810
ARPC5,1,-,183595327,183605076,9750
ARPC5L,9,+,127631483,127639696,8214
ARPIN,15,-,90439763,90456222,16460
ARPP19,15,-,52839431,52861213,21783
ARPP21,3,+,35680665,35835988,155324
ARR3,X,+,69488184,69501690,13507
ARRB1,11,-,74971165,75062875,91711
ARRB2,17,+,4613788,4624795,11008
ARRDC1,9,+,140500095,140509812,9718
ARRDC1-AS1,9,-,140509783,140513347,3565
ARRDC2,19,+,18111940,18124911,12972
ARRDC3,5,-,90664540,90679149,14610
ARRDC3-AS1,5,+,90676163,90716532,40370
ARRDC4,15,+,98503932,98517068,13137
ARRDC5,19,-,4890448,4902879,12432
ARSA,22,-,51061181,51066601,5421
ARSB,5,-,78073036,78282357,209322
ARSD,X,-,2822010,2847416,25407
ARSE,X,-,2852672,2886351,33680
ARSF,X,+,2958274,3030770,72497
ARSG,17,+,66255322,66417000,161679
ARSH,X,+,2924653,2951426,26774
ARSI,5,-,149675908,149682525,6618
ARSJ,4,-,114821439,114900878,79440
ARSK,5,+,94890824,94940806,49983
ART1,11,+,3666360,3685646,19287
ART3,4,+,76932332,77033955,101624
ART4,12,-,14982244,14996413,14170
ART5,11,-,3659735,3663546,3812
ARTN,1,+,44398991,44402912,3922
ARV1,1,+,231114822,231136479,21658
ARVCF,22,-,19957401,20004309,46909
ARX,X,-,25021812,25034065,12254
AS3MT,10,+,104629209,104661655,32447
ASAH1,8,-,17913924,17942507,28584
ASAH2,10,-,51946999,52008370,61372
ASAH2B,10,+,52499687,52514569,14883
ASAP1,8,-,131064350,131455906,391557
ASAP1-IT1,8,-,131307600,131308779,1180
ASAP1-IT2,8,-,131094983,131097014,2032
ASAP2,2,+,9346893,9545812,198920
ASAP3,1,-,23755055,23810750,55696
ASB1,2,+,239335625,239360891,25267
ASB10,7,-,150872784,150884919,12136
ASB11,X,-,15299830,15333746,33917
ASB12,X,-,63444071,63450511,6441
ASB13,10,-,5680819,5708558,27740
ASB14,3,-,57302378,57326710,24333
ASB15,7,+,123241920,123277934,36015
ASB16,17,+,42248073,42256451,8379
ASB16-AS1,17,-,42253341,42264085,10745
ASB17,1,-,76384557,76398116,13560
ASB18,2,-,237103514,237172988,69475
ASB2,14,-,94400498,94443076,42579
ASB3,2,-,53897116,54014146,117031
ASB4,7,+,95115212,95169543,54332
ASB5,4,-,177134825,177190373,55549
ASB6,9,-,132396882,132404448,7567
ASB7,15,+,101142754,101191904,49151
ASB8,12,-,48541571,48551377,9807
ASB9,X,-,15262108,15288589,26482
ASB9P1,15,+,93338713,93340338,1626
ASCC1,10,-,73855789,73976892,121104
ASCC2,22,-,30184596,30234293,49698
ASCC3,6,-,100956070,101329248,373179
ASCL1,12,+,103351451,103354294,2844
ASCL2,11,-,2289727,2292182,2456
ASCL3,11,-,8959118,8964580,5463
ASCL4,12,+,108168161,108170421,2261
ASCL5,1,-,201083080,201084500,1421
ASF1A,6,+,119215240,119230335,15096
ASF1B,19,-,14230320,14247440,17121
ASGR1,17,-,7076750,7082883,6134
ASGR2,17,-,7004640,7018130,13491
ASH1L,1,-,155305051,155532324,227274
ASH1L-AS1,1,+,155531771,155533735,1965
ASH2L,8,+,37963010,37997598,34589
ASIC1,12,+,50451419,50477405,25987
ASIC2,17,-,31340105,32483825,1143721
ASIC3,7,+,150745378,150749843,4466
ASIC4,2,+,220378891,220403494,24604
ASIC5,4,-,156750880,156787425,36546
ASIP,20,+,32848170,32857148,8979
ASL,7,+,65540775,65558329,17555
ASMT,X,+,1714347,1761974,47628
ASMT,Y,+,1664347,1711974,47628
ASMTL,X,-,1522031,1572655,50625
ASMTL,Y,-,1472031,1522655,50625
ASMTL-AS1,X,+,1519423,1534314,14892
ASMTL-AS1,Y,+,1469423,1484314,14892
ASNA1,19,+,12848305,12859137,10833
ASNS,7,-,97481428,97501854,20427
ASNSD1,2,+,190526124,190535557,9434
ASPA,17,+,3377403,3402700,25298
